Epoch [10572/12500], time: 3054.3796, Loss: -8371.0771
Epoch [10574/12500], time: 3054.9003, Loss: -8385.7256
Epoch [10576/12500], time: 3055.4210, Loss: -8400.1875
Epoch [10578/12500], time: 3055.9433, Loss: -8414.5811
Epoch [10580/12500], time: 3056.4630, Loss: -8428.8525
Epoch [10582/12500], time: 3056.9829, Loss: -8442.9893
Epoch [10584/12500], time: 3057.5022, Loss: -8457.2549
Epoch [10586/12500], time: 3058.0217, Loss: -8471.0430
Epoch [10588/12500], time: 3058.5406, Loss: -8484.9756
Epoch [10590/12500], time: 3059.0628, Loss: -8498.8145
Epoch [10592/12500], time: 3059.5837, Loss: -8512.5059
Epoch [10594/12500], time: 3060.1048, Loss: -8525.9736
Epoch [10596/12500], time: 3060.6246, Loss: -8539.3779
Epoch [10598/12500], time: 3061.1464, Loss: -8552.9414
Epoch [10600/12500], time: 3061.6679, Loss: -8566.2031
Epoch [10602/12500], time: 3062.1912, Loss: -8579.2725
Epoch [10604/12500], time: 3062.7098, Loss: -8592.3350
Epoch [10606/12500], time: 3063.2289, Loss: -8605.3096
Epoch [10608/12500], time: 3063.7493, Loss: -8618.2090
Epoch [10610/12500], time: 3064.2689, Loss: -8630.9717
Epoch [10612/12500], time: 3064.7886, Loss: -8643.6162
Epoch [10614/12500], time: 3065.3089, Loss: -8656.3154
Epoch [10616/12500], time: 3065.8289, Loss: -8668.6416
Epoch [10618/12500], time: 3066.3479, Loss: -8681.0557
Epoch [10620/12500], time: 3066.8684, Loss: -8693.3848
Epoch [10622/12500], time: 3067.3904, Loss: -8705.4258
Epoch [10624/12500], time: 3067.9115, Loss: -8717.4893
Epoch [10626/12500], time: 3068.4310, Loss: -8729.4912
Epoch [10628/12500], time: 3068.9554, Loss: -8741.2500
Epoch [10630/12500], time: 3069.4762, Loss: -8753.1133
Epoch [10632/12500], time: 3069.9968, Loss: -8764.7812
Epoch [10634/12500], time: 3070.5172, Loss: -8776.4531
Epoch [10636/12500], time: 3071.0388, Loss: -8787.9756
Epoch [10638/12500], time: 3071.5575, Loss: -8799.1748
Epoch [10640/12500], time: 3072.0776, Loss: -8810.6104
Epoch [10642/12500], time: 3072.5977, Loss: -8821.9600
Epoch [10644/12500], time: 3073.1191, Loss: -8833.0654
Epoch [10646/12500], time: 3073.6394, Loss: -8844.1191
Epoch [10648/12500], time: 3074.1596, Loss: -8854.9873
Epoch [10650/12500], time: 3074.6799, Loss: -8865.9297
Epoch [10652/12500], time: 3075.2000, Loss: -8876.7607
Epoch [10654/12500], time: 3075.7211, Loss: -8887.2812
Epoch [10656/12500], time: 3076.2410, Loss: -8897.9990
Epoch [10658/12500], time: 3076.7599, Loss: -8908.4678
Epoch [10660/12500], time: 3077.2800, Loss: -8919.0342
Epoch [10662/12500], time: 3077.8056, Loss: -8929.3057
Epoch [10664/12500], time: 3078.3255, Loss: -8939.4844
Epoch [10666/12500], time: 3078.8454, Loss: -8949.6641
